2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52428 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52420 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52429 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52425 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52421 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52423 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52431 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52424 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52437 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52432 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52433 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52434 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52435 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52436 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52422 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52473 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.02ms |     [::1]:52438 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52439 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52455 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52474 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52441 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52456 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52442 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52457 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52449 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.02ms |     [::1]:52475 | GET /api/cache
